symbol,token,high
ETERNAL29MAY25230CE,140691,9.35
ETERNAL29MAY25235PE,146347,8.55
ETERNAL29MAY25235CE,146346,6.65
ETERNAL29MAY25240PE,140698,11.5
ETERNAL29MAY25240CE,140695,4.5
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.0
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.25
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.55
ETERNAL29MAY25225CE,146344,12.55
ETERNAL29MAY25230PE,140694,6.3
ETERNAL29MAY25230CE,140691,9.4
ETERNAL29MAY25235PE,146347,8.55
ETERNAL29MAY25235CE,146346,6.65
ETERNAL29MAY25240PE,140698,11.55
ETERNAL29MAY25240CE,140695,4.6
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.0
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.25
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.55
ETERNAL29MAY25225CE,146344,12.55
ETERNAL29MAY25230PE,140694,6.3
ETERNAL29MAY25230CE,140691,9.3
ETERNAL29MAY25235PE,146347,8.65
ETERNAL29MAY25235CE,146346,6.65
ETERNAL29MAY25240PE,140698,11.55
ETERNAL29MAY25240CE,140695,4.6
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.1
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.25
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.5
ETERNAL29MAY25225CE,146344,12.65
ETERNAL29MAY25230PE,140694,6.3
ETERNAL29MAY25230CE,140691,9.4
ETERNAL29MAY25235PE,146347,8.55
ETERNAL29MAY25235CE,146346,6.75
ETERNAL29MAY25240PE,140698,11.55
ETERNAL29MAY25240CE,140695,4.65
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.1
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.2
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.55
ETERNAL29MAY25225CE,146344,12.65
ETERNAL29MAY25230PE,140694,6.2
ETERNAL29MAY25230CE,140691,9.45
ETERNAL29MAY25235PE,146347,8.5
ETERNAL29MAY25235CE,146346,6.8
ETERNAL29MAY25240PE,140698,11.55
ETERNAL29MAY25240CE,140695,4.65
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.1
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.2
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.55
ETERNAL29MAY25225CE,146344,12.65
ETERNAL29MAY25230PE,140694,6.2
ETERNAL29MAY25230CE,140691,9.45
ETERNAL29MAY25235PE,146347,8.5
ETERNAL29MAY25235CE,146346,6.75
ETERNAL29MAY25240PE,140698,11.55
ETERNAL29MAY25240CE,140695,4.65
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.1
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.2
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.55
ETERNAL29MAY25225CE,146344,12.65
ETERNAL29MAY25230PE,140694,6.25
ETERNAL29MAY25230CE,140691,9.45
ETERNAL29MAY25235PE,146347,8.5
ETERNAL29MAY25235CE,146346,6.75
ETERNAL29MAY25240PE,140698,11.35
ETERNAL29MAY25240CE,140695,4.65
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.15
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.2
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.55
ETERNAL29MAY25225CE,146344,12.65
ETERNAL29MAY25230PE,140694,6.2
ETERNAL29MAY25230CE,140691,9.45
ETERNAL29MAY25235PE,146347,8.5
ETERNAL29MAY25235CE,146346,6.75
ETERNAL29MAY25240PE,140698,11.35
ETERNAL29MAY25240CE,140695,4.65
ETERNAL29MAY25245PE,146349,15.45
ETERNAL29MAY25245CE,146348,3.15
ETERNAL29MAY25250PE,140768,19.0
ETERNAL29MAY25215CE,146342,20.3
ETERNAL29MAY25220PE,140690,3.1
ETERNAL29MAY25220CE,140689,16.0
ETERNAL29MAY25225PE,146345,4.5
ETERNAL29MAY25225CE,146344,12.7
ETERNAL29MAY25230PE,140694,6.15
ETERNAL29MAY25230CE,140691,9.45
ETERNAL29MAY25235PE,146347,8.4
ETERNAL29MAY25235CE,146346,6.75
ETERNAL29MAY25240PE,140698,11.3
ETERNAL29MAY25240CE,140695,4.65
ETERNAL29MAY25245PE,146349,14.75
ETERNAL29MAY25245CE,146348,3.15
ETERNAL29MAY25250PE,140768,19.0
